filename,group,subcategory,split,filepath
18164.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/18164.jpg
16749.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/16749.jpg
25120.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/25120.jpg
31921.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/31921.jpg
16755.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/16755.jpg
36989.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/36989.jpg
49535.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/49535.jpg
36988.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/36988.jpg
35925.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/35925.jpg
58284.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/58284.jpg
36990.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/36990.jpg
36979.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/36979.jpg
42878.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/42878.jpg
32724.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/32724.jpg
52588.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/52588.jpg
53073.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/53073.jpg
25127.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/25127.jpg
42879.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/42879.jpg
17110.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/17110.jpg
25139.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/25139.jpg
52609.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/52609.jpg
16746.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/16746.jpg
32723.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/32723.jpg
49537.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/49537.jpg
49525.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/49525.jpg
31934.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/31934.jpg
42893.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/42893.jpg
47318.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/47318.jpg
53072.jpg,Bags,Clutches,fashion_extra,/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/fashion_dataset/FashionDataset/images/53072.jpg
