image_path,articleType,group
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/47957.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/47359.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/21977.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/59051.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/58183.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/29742.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/2886.jpg,Flats,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/42841.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/35913.jpg,Handbags,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/54118.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/2872.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/39716.jpg,Dresses,Clothing
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/28456.jpg,Skirts,Clothing
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/11518.jpg,Heels,Shoes
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/14856.jpg,Wallets,Bags
/Users/hossein/Desktop/School/deep_learning_TDIS22/hierarchical-image-classification/data/FashionData/images/31923.jpg,Handbags,Bags
